Date,No of registered cases,No. of recoveries,No. of Deaths,Total Cases,Total Recoveries,Total Deaths,No. of Active Cases,New Cases in a single day,Recovery Rate (%),Fatality Rate (%)
05-06-20,7,5,1,7,5,1,1,1,71.42857143,14.28571429
05-07-20,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05-08-20,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05-09-20,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05-10-20,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05-11-20,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05-12-20,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05/13/2020,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05/14/2020,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05/15/2020,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05/16/2020,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05/17/2020,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05/18/2020,0,0,0,7,5,1,1,0,71.42857143,14.28571429
05/19/2020,2,0,0,9,5,1,3,2,55.55555556,11.11111111
05/20/2020,1,0,0,10,5,1,4,1,50,10
05/21/2020,0,0,0,10,5,1,4,0,50,10
05/22/2020,0,0,0,10,5,1,4,0,50,10
05/23/2020,0,0,0,10,5,1,4,0,50,10
05/24/2020,0,0,0,10,5,1,4,0,50,10
05/25/2020,2,0,0,12,5,1,6,2,41.66666667,8.333333333
05/26/2020,1,1,0,13,6,1,6,0,46.15384615,7.692307692
05/27/2020,1,0,0,14,6,1,7,1,42.85714286,7.142857143
05/28/2020,1,0,0,15,6,1,8,1,40,6.666666667
05/29/2020,0,1,0,15,7,1,7,-1,46.66666667,6.666666667
05/30/2020,6,2,0,21,9,1,11,4,42.85714286,4.761904762
05/31/2020,0,0,0,21,9,1,11,0,42.85714286,4.761904762
06-01-20,6,0,0,27,9,1,17,6,33.33333333,3.703703704
06-02-20,11,0,0,38,9,1,28,11,23.68421053,2.631578947
06-03-20,12,0,1,50,9,2,39,11,18,4
06-04-20,10,1,0,60,10,2,48,9,16.66666667,3.333333333
06-05-20,17,5,0,77,15,2,60,12,19.48051948,2.597402597
06-06-20,6,1,0,83,16,2,65,5,19.27710843,2.409638554
06-07-20,6,3,1,89,19,3,67,2,21.34831461,3.370786517
06-08-20,13,14,0,102,33,3,66,-1,32.35294118,2.941176471
06-09-20,16,7,0,118,40,3,75,9,33.89830508,2.542372881
06-10-20,10,0,0,128,40,3,85,10,31.25,2.34375
06-11-20,41,6,0,169,46,3,120,35,27.21893491,1.775147929
06-12-20,15,22,0,184,68,3,113,-7,36.95652174,1.630434783
06/13/2020,4,0,0,188,68,3,117,4,36.17021277,1.595744681
06/14/2020,9,12,1,197,80,4,113,-4,40.60913706,2.030456853
06/15/2020,22,13,0,219,93,4,122,9,42.46575342,1.826484018
06/16/2020,1,13,0,220,106,4,110,-12,48.18181818,1.818181818
06/17/2020,2,2,0,222,108,4,110,0,48.64864865,1.801801802
06/18/2020,18,26,0,240,134,4,102,-8,55.83333333,1.666666667
06/19/2020,8,3,0,248,137,4,107,5,55.24193548,1.612903226
06/20/2020,20,7,1,268,144,5,119,12,53.73134328,1.865671642
06/21/2020,28,0,0,296,144,5,147,28,48.64864865,1.689189189
06/22/2020,33,21,0,329,165,5,159,12,50.15197568,1.519756839
06/23/2020,19,15,0,348,180,5,163,4,51.72413793,1.436781609
06/24/2020,15,11,1,363,191,6,166,3,52.61707989,1.652892562
06/25/2020,32,15,2,395,206,8,181,15,52.15189873,2.025316456
06/26/2020,14,9,1,409,215,9,185,4,52.56723716,2.200488998
06/27/2020,12,7,0,421,222,9,190,5,52.73159145,2.137767221
06/28/2020,7,4,0,428,226,9,193,3,52.80373832,2.102803738
06/29/2020,30,8,0,458,234,9,215,22,51.09170306,1.965065502
06/30/2020,30,23,1,488,257,10,221,6,52.66393443,2.049180328
07-01-20,7,17,0,495,274,10,211,-10,55.35353535,2.02020202
07-02-20,33,27,0,528,301,10,217,6,57.00757576,1.893939394
07-03-20,26,118,0,554,419,10,125,-92,75.63176895,1.805054152
07-04-20,23,9,0,577,428,10,139,14,74.17677643,1.733102253
07-05-20,26,2,0,603,430,10,163,24,71.31011609,1.658374793
07-06-20,44,7,0,647,437,10,200,37,67.54250386,1.545595054
07-07-20,37,3,0,684,440,10,234,34,64.32748538,1.461988304
07-08-20,32,42,0,716,482,10,224,-10,67.31843575,1.396648045
07-09-20,20,5,2,736,487,12,237,13,66.16847826,1.630434783
07-10-20,28,23,0,764,510,12,242,5,66.7539267,1.570680628
07-11-20,72,17,0,836,527,12,297,55,63.03827751,1.435406699
07-12-20,36,34,1,872,561,13,298,1,64.33486239,1.490825688
07/13/2020,73,26,0,945,587,13,345,47,62.11640212,1.375661376
07/14/2020,6,4,0,951,591,13,347,2,62.14511041,1.366982124
07/15/2020,64,41,0,1015,632,13,370,23,62.26600985,1.280788177
07/16/2020,78,33,1,1093,665,14,414,44,60.84172004,1.280878317
07/17/2020,74,26,0,1167,691,14,462,48,59.21165381,1.199657241
07/18/2020,70,44,0,1237,735,14,488,26,59.41794665,1.131770412
07/19/2020,65,33,0,1302,768,14,520,32,58.98617512,1.075268817
07/20/2020,43,57,0,1345,825,14,506,-14,61.33828996,1.040892193
07/21/2020,87,66,0,1432,891,14,527,21,62.22067039,0.9776536313
07/22/2020,35,3,1,1467,894,15,558,31,60.9406953,1.022494888
07/23/2020,65,115,0,1532,1009,15,508,-50,65.8616188,0.9791122715
07/24/2020,89,69,0,1621,1078,15,528,20,66.50215916,0.9253547193
07/25/2020,61,45,0,1682,1123,15,544,16,66.76575505,0.8917954816
07/26/2020,123,101,2,1805,1224,17,564,20,67.81163435,0.9418282548
07/27/2020,72,35,2,1877,1259,19,599,35,67.07511987,1.012253596
07/28/2020,62,87,2,1939,1346,21,572,-27,69.41722537,1.083032491
07/29/2020,62,44,1,2001,1390,22,589,17,69.46526737,1.099450275
07/30/2020,43,54,0,2044,1444,22,578,-11,70.64579256,1.076320939
07/31/2020,122,70,0,2166,1514,22,630,52,69.89843029,1.015697138
08/01/2020,69,41,0,2235,1555,22,658,28,69.57494407,0.9843400447
08/02/2020,150,118,1,2385,1673,23,689,31,70.14675052,0.964360587
08/03/2020,151,75,0,2536,1748,23,765,76,68.92744479,0.9069400631
08/04/2020,53,73,4,2589,1821,27,741,-24,70.33603708,1.042873696
08/05/2020,59,63,4,2648,1884,31,733,-8,71.14803625,1.170694864
08/06/2020,102,34,3,2750,1918,34,798,65,69.74545455,1.236363636
08/07/2020,83,117,1,2833,2035,35,763,-35,71.83198023,1.235439463
08/08/2020,76,14,1,2909,2049,36,824,61,70.43657614,1.237538673
08/09/2020,68,63,3,2977,2112,39,826,2,70.94390326,1.310043668
08/10/2020,133,192,0,3110,2304,39,767,-59,74.08360129,1.254019293
08/11/2020,40,107,1,3150,2411,40,699,-68,76.53968254,1.26984127
08/12/2020,82,59,1,3232,2470,41,721,22,76.42326733,1.268564356
08/13/2020,105,20,1,3337,2490,42,805,84,74.61792029,1.258615523
08/14/2020,102,94,2,3439,2584,44,811,6,75.13812155,1.279441698
08/15/2020,68,97,1,3507,2681,45,781,-30,76.44710579,1.28314799
08/16/2020,73,83,5,3580,2764,50,766,-15,77.20670391,1.396648045
08/17/2020,103,112,2,3683,2876,52,755,-11,78.0885148,1.411892479
08/18/2020,74,76,1,3757,2952,53,752,-3,78.57332978,1.410700027
08/19/2020,81,74,2,3838,3026,55,757,5,78.84314747,1.433038041
08/20/2020,169,127,1,4007,3153,56,798,41,78.68729723,1.39755428
08/21/2020,134,87,0,4141,3240,56,845,47,78.24197054,1.352330355
08/22/2020,104,67,4,4245,3307,60,878,33,77.90341578,1.413427562
08/23/2020,62,81,0,4307,3388,60,859,-19,78.66264221,1.393081031
08/24/2020,109,95,1,4416,3483,61,872,13,78.87228261,1.38134058
08/25/2020,80,74,2,4496,3557,63,876,4,79.11476868,1.401245552
08/26/2020,102,92,4,4598,3649,67,882,6,79.36059156,1.457155285
08/27/2020,95,146,2,4693,3795,69,829,-53,80.86511826,1.470274877
08/28/2020,73,110,3,4766,3905,72,789,-40,81.9345363,1.510700797
08/29/2020,84,104,2,4850,4009,74,767,-22,82.65979381,1.525773196
08/30/2020,91,101,1,4941,4110,75,756,-11,83.1815422,1.517911354
08/31/2020,115,135,0,5056,4245,75,736,-20,83.9596519,1.483386076
09/01/2020,59,106,0,5115,4351,75,689,-47,85.06353861,1.46627566
09/02/2020,87,99,0,5202,4450,75,677,-12,85.54402153,1.441753172
09/03/2020,66,92,1,5268,4542,76,650,-27,86.21867882,1.442672741
09/04/2020,111,88,2,5379,4630,78,671,21,86.07547871,1.450083659
09/05/2020,96,100,0,5475,4730,78,667,-4,86.39269406,1.424657534
09/06/2020,95,91,3,5570,4821,81,668,1,86.5529623,1.454219031
09/07/2020,110,108,0,5680,4929,81,670,2,86.77816901,1.426056338
09/08/2020,91,58,1,5771,4987,82,702,32,86.41483278,1.420897591
09/09/2020,57,81,2,5828,5068,84,676,-26,86.95950583,1.441317776
09/10/2020,86,98,1,5914,5166,85,663,-13,87.35204599,1.437267501
09/11/2020,103,82,5,6017,5248,90,679,16,87.21954462,1.495762008
09/12/2020,96,80,1,6113,5328,91,694,15,87.15851464,1.488630787
09/13/2020,117,118,1,6230,5446,92,692,-2,87.41573034,1.476725522
09/14/2020,149,122,0,6379,5568,92,719,27,87.28640853,1.442232325
09/15/2020,119,63,1,6498,5631,93,774,55,86.65743306,1.431209603
09/16/2020,104,69,1,6602,5700,94,808,34,86.33747349,1.423810966
09/17/2020,94,76,0,6696,5776,94,826,18,86.260454,1.403823178
09/18/2020,118,104,0,6814,5880,94,840,14,86.29292633,1.379512768
09/19/2020,95,92,1,6909,5972,95,842,2,86.43797945,1.375018092
09/20/2020,99,127,2,7008,6099,97,812,-30,87.02910959,1.38413242
09/21/2020,128,128,2,7136,6227,99,810,-2,87.2617713,1.387331839
09/22/2020,85,111,1,7221,6338,100,783,-27,87.77177676,1.384849744
09/23/2020,89,73,1,7310,6411,101,798,15,87.70177839,1.381668947
09/24/2020,82,91,0,7392,6502,101,789,-9,87.95995671,1.366341991
09/25/2020,82,111,3,7474,6613,104,757,-32,88.48006422,1.3914905
09/26/2020,71,102,1,7545,6715,105,725,-32,88.99933731,1.391650099
09/27/2020,82,109,0,7627,6824,105,698,-27,89.471614,1.376688082
09/28/2020,79,115,1,7706,6939,106,661,-37,90.04671684,1.375551518
09/29/2020,99,86,0,7805,7025,106,674,13,90.00640615,1.35810378
09/30/2020,79,109,4,7884,7134,110,640,-34,90.4870624,1.395230847
10/01/2020,84,67,0,7968,7201,110,657,17,90.37399598,1.380522088
10/02/2020,91,70,1,8059,7271,111,677,20,90.22211192,1.377342102
10/03/2020,125,66,1,8184,7337,112,735,58,89.65053763,1.368523949
